,open,high,low,close,adj_close,volume,log_return,industrial_production,__age_days_industrial_production,vix_index,__age_days_vix_index,inflation,__age_days_inflation,fed_funds_rate,__age_days_fed_funds_rate,energy_index,__age_days_energy_index,unemployment_rate,__age_days_unemployment_rate,us10y_treasury_yield,__age_days_us10y_treasury_yield,consumer_sentiment,__age_days_consumer_sentiment,gdp_growth,__age_days_gdp_growth,inflation_wb,__age_days_inflation_wb,trade_openness,__age_days_trade_openness,unemployment_wb,__age_days_unemployment_wb,energy_usage,__age_days_energy_usage
open,1.0,0.7666480049312651,0.783948889364977,0.5266462164317651,0.5266462164317651,0.2670284226766995,0.526646216431766,0.26156798956491784,0.31124532520102605,0.29154639615480826,0.31124532520102605,0.27091388958488855,0.30176344602774413,0.28272635874374297,0.30176344602774413,0.28098016786731006,0.31124532520102605,0.33290184750395446,0.30176344602774413,0.27999645174953103,0.30176344602774413,0.29585409876543983,0.30176344602774413,0.2971838374792794,0.31674145433044193,0.30785688919503684,0.31674145433044193,0.29719679778770686,0.3327540081024549,0.302630537311539,0.31674145433044193,0.29381781882699515,0.3327540081024549
high,0.7666480049312651,1.0,0.7875565186112728,0.7679022310836461,0.7679022310836461,0.38030862736745685,0.7679022310836466,0.2544370253399277,0.3010118793293132,0.2929048807330103,0.3010118793293132,0.26643956565460175,0.29997713688091676,0.27804130347519734,0.29997713688091676,0.27534233829263877,0.3010118793293132,0.3417800798507207,0.29997713688091676,0.2797650026262082,0.29997713688091676,0.29713081839848465,0.29997713688091676,0.29505686814675264,0.3190042193037026,0.30804244826355986,0.3190042193037026,0.29639960477164595,0.31940937203183634,0.3051046808743501,0.3190042193037026,0.29330135302626836,0.31940937203183634
low,0.783948889364977,0.7875565186112728,1.0,0.7580228042988366,0.7580228042988366,0.14358532745589864,0.7580228042988366,0.25891243406137193,0.31537550670199777,0.29209987656107544,0.31537550670199777,0.2687537480656356,0.30744138977746965,0.2823242961359862,0.30744138977746965,0.2818622121643279,0.31537550670199777,0.33564736959692915,0.30744138977746965,0.2776702968881508,0.30744138977746965,0.2975096823261533,0.30744138977746965,0.2941977520020516,0.33144170796681144,0.30794782770204443,0.33144170796681144,0.29810560059432023,0.3275709755486122,0.3072309350193529,0.33144170796681144,0.2914699867591184,0.3275709755486122
close,0.5266462164317651,0.7679022310836461,0.7580228042988366,1.0,0.9475,0.2564100469189575,0.9475000000000002,0.25910747927843697,0.3002345553178832,0.29099315547076604,0.3002345553178832,0.2722831595921379,0.29986690775368974,0.2821856245841305,0.29986690775368974,0.28352438394413254,0.3002345553178832,0.33601609594909687,0.29986690775368974,0.28260528079733915,0.29986690775368974,0.29894189844461583,0.29986690775368974,0.2953672732374435,0.3223927174802757,0.30569745531453185,0.3223927174802757,0.2969575690856735,0.3086057493764245,0.303292643316219,0.3223927174802757,0.2901204601781389,0.3086057493764245
adj_close,0.5266462164317651,0.7679022310836461,0.7580228042988366,0.9475,1.0,0.2564100469189575,0.9475000000000002,0.25910747927843697,0.3002345553178832,0.29099315547076604,0.3002345553178832,0.2722831595921379,0.29986690775368974,0.2821856245841305,0.29986690775368974,0.28352438394413254,0.3002345553178832,0.33601609594909687,0.29986690775368974,0.28260528079733915,0.29986690775368974,0.29894189844461583,0.29986690775368974,0.2953672732374435,0.3223927174802757,0.30569745531453185,0.3223927174802757,0.2969575690856735,0.3086057493764245,0.303292643316219,0.3223927174802757,0.2901204601781389,0.3086057493764245
volume,0.2670284226766995,0.38030862736745685,0.14358532745589864,0.2564100469189575,0.2564100469189575,1.0,0.2564100469189575,0.295776972424175,0.30857479875912436,0.2965787115534812,0.30857479875912436,0.2991730729908157,0.3108600852226755,0.2963333565561276,0.3108600852226755,0.29437280578332387,0.30857479875912436,0.2997115418471418,0.3108600852226755,0.3042180771252994,0.3108600852226755,0.295453254482179,0.3108600852226755,0.2961372576526466,0.2814561074147363,0.2942815016036808,0.2814561074147363,0.29623044786872155,0.2954741321033506,0.29726476729409623,0.2814561074147363,0.2982437928181811,0.2954741321033506
log_return,0.526646216431766,0.7679022310836466,0.7580228042988366,0.9475000000000002,0.9475000000000002,0.2564100469189575,1.0,0.25910747927843686,0.3002345553178835,0.290993155470766,0.3002345553178835,0.2722831595921379,0.29986690775369024,0.28218562458413043,0.29986690775369024,0.2835243839441326,0.3002345553178835,0.33601609594909687,0.29986690775369024,0.28260528079733915,0.29986690775369024,0.29894189844461594,0.29986690775369024,0.2953672732374434,0.32239271748027587,0.30569745531453174,0.32239271748027587,0.29695756908567345,0.3086057493764248,0.3032926433162191,0.32239271748027587,0.29012046017813886,0.3086057493764248
industrial_production,0.26156798956491784,0.2544370253399277,0.25891243406137193,0.25910747927843697,0.25910747927843697,0.295776972424175,0.25910747927843686,1.0,0.2888194394529052,0.30800703247454153,0.2888194394529052,0.5404658967669382,0.29726307361306875,0.5538492879305298,0.29726307361306875,0.42625990596624785,0.2888194394529052,-0.2457757604043359,0.29726307361306875,0.32693821266738143,0.29726307361306875,0.45577750144569695,0.29726307361306875,0.41436474263282475,0.28896354108943884,0.3937725339084126,0.28896354108943884,0.41526299614103723,0.2952221484511293,0.15700107111953657,0.28896354108943884,0.39897526186158117,0.2952221484511293
__age_days_industrial_production,0.31124532520102605,0.3010118793293132,0.31537550670199777,0.3002345553178832,0.3002345553178832,0.30857479875912436,0.3002345553178835,0.2888194394529052,1.0,0.2933951123639637,0.9475,0.30248544389937226,0.6490948734793582,0.30053864502119715,0.6490948734793582,0.3085486382506314,0.9475,0.30440025307288626,0.6490948734793582,0.30167849877068076,0.6490948734793582,0.2970896236072692,0.6490948734793582,0.30638653208313577,0.36513987254838337,0.30287934336620753,0.36513987254838337,0.2994786493211425,0.42367047010200876,0.28817429185656085,0.36513987254838337,0.30182102153110346,0.42367047010200876
vix_index,0.29154639615480826,0.2929048807330103,0.29209987656107544,0.29099315547076604,0.29099315547076604,0.2965787115534812,0.290993155470766,0.30800703247454153,0.2933951123639637,1.0,0.2933951123639637,0.27894408630765893,0.29735574878595106,0.2005997324939833,0.29735574878595106,0.16982642149140564,0.2933951123639637,0.21187747897075193,0.29735574878595106,0.2635222140988722,0.29735574878595106,0.23728559754331074,0.29735574878595106,0.25794450814783143,0.2987171497424847,0.27013716152079165,0.2987171497424847,0.2738659338596668,0.30042616347021067,0.34482684224768234,0.2987171497424847,0.25856100675246363,0.30042616347021067
__age_days_vix_index,0.31124532520102605,0.3010118793293132,0.31537550670199777,0.3002345553178832,0.3002345553178832,0.30857479875912436,0.3002345553178835,0.2888194394529052,0.9475,0.2933951123639637,1.0,0.30248544389937226,0.6490948734793582,0.30053864502119715,0.6490948734793582,0.3085486382506314,0.9475,0.30440025307288626,0.6490948734793582,0.30167849877068076,0.6490948734793582,0.2970896236072692,0.6490948734793582,0.30638653208313577,0.36513987254838337,0.30287934336620753,0.36513987254838337,0.2994786493211425,0.42367047010200876,0.28817429185656085,0.36513987254838337,0.30182102153110346,0.42367047010200876
inflation,0.27091388958488855,0.26643956565460175,0.2687537480656356,0.2722831595921379,0.2722831595921379,0.2991730729908157,0.2722831595921379,0.5404658967669382,0.30248544389937226,0.27894408630765893,0.30248544389937226,1.0,0.2964810885374501,0.4579668125412217,0.2964810885374501,0.6232838758747454,0.30248544389937226,0.08932569847781952,0.2964810885374501,0.5253450650206706,0.2964810885374501,0.32031828677725005,0.2964810885374501,0.49334085353675405,0.2957181836045071,0.48954849338080897,0.2957181836045071,0.5127273662424426,0.2839351429851299,0.07289931499183983,0.2957181836045071,0.5459478318695017,0.2839351429851299
__age_days_inflation,0.30176344602774413,0.29997713688091676,0.30744138977746965,0.29986690775368974,0.29986690775368974,0.3108600852226755,0.29986690775369024,0.29726307361306875,0.6490948734793582,0.29735574878595106,0.6490948734793582,0.2964810885374501,1.0,0.2978814808441036,0.9475,0.29664990108194494,0.6490948734793582,0.29728028369632964,0.9475,0.29788123387943577,0.9475,0.29900402139654497,0.9475,0.2966322415092364,0.4246171817621527,0.2956706124395744,0.4246171817621527,0.29929708773780334,0.38231874132924604,0.30241702896233175,0.4246171817621527,0.2999257371527754,0.38231874132924604
fed_funds_rate,0.28272635874374297,0.27804130347519734,0.2823242961359862,0.2821856245841305,0.2821856245841305,0.2963333565561276,0.28218562458413043,0.5538492879305298,0.30053864502119715,0.2005997324939833,0.30053864502119715,0.4579668125412217,0.2978814808441036,1.0,0.2978814808441036,0.37166830575639315,0.30053864502119715,0.04537944925447218,0.2978814808441036,0.38551141435691094,0.2978814808441036,0.42162346259238315,0.2978814808441036,0.34027629211971155,0.30909818470569367,0.3035896201617576,0.30909818470569367,0.2745162260797403,0.2761559896939763,-0.014810234816442336,0.30909818470569367,0.5276439072959412,0.2761559896939763
__age_days_fed_funds_rate,0.30176344602774413,0.29997713688091676,0.30744138977746965,0.29986690775368974,0.29986690775368974,0.3108600852226755,0.29986690775369024,0.29726307361306875,0.6490948734793582,0.29735574878595106,0.6490948734793582,0.2964810885374501,0.9475,0.2978814808441036,1.0,0.29664990108194494,0.6490948734793582,0.29728028369632964,0.9475,0.29788123387943577,0.9475,0.29900402139654497,0.9475,0.2966322415092364,0.4246171817621527,0.2956706124395744,0.4246171817621527,0.29929708773780334,0.38231874132924604,0.30241702896233175,0.4246171817621527,0.2999257371527754,0.38231874132924604
energy_index,0.28098016786731006,0.27534233829263877,0.2818622121643279,0.28352438394413254,0.28352438394413254,0.29437280578332387,0.2835243839441326,0.42625990596624785,0.3085486382506314,0.16982642149140564,0.3085486382506314,0.6232838758747454,0.29664990108194494,0.37166830575639315,0.29664990108194494,1.0,0.3085486382506314,0.2148466706749282,0.29664990108194494,0.5132080580288332,0.29664990108194494,0.3982914430386121,0.29664990108194494,0.43701933789115954,0.30514080007181144,0.470712729620545,0.30514080007181144,0.37329125244373507,0.27864289753485183,0.22576021060496354,0.30514080007181144,0.32953704197974304,0.27864289753485183
__age_days_energy_index,0.31124532520102605,0.3010118793293132,0.31537550670199777,0.3002345553178832,0.3002345553178832,0.30857479875912436,0.3002345553178835,0.2888194394529052,0.9475,0.2933951123639637,0.9475,0.30248544389937226,0.6490948734793582,0.30053864502119715,0.6490948734793582,0.3085486382506314,1.0,0.30440025307288626,0.6490948734793582,0.30167849877068076,0.6490948734793582,0.2970896236072692,0.6490948734793582,0.30638653208313577,0.36513987254838337,0.30287934336620753,0.36513987254838337,0.2994786493211425,0.42367047010200876,0.28817429185656085,0.36513987254838337,0.30182102153110346,0.42367047010200876
unemployment_rate,0.33290184750395446,0.3417800798507207,0.33564736959692915,0.33601609594909687,0.33601609594909687,0.2997115418471418,0.33601609594909687,-0.2457757604043359,0.30440025307288626,0.21187747897075193,0.30440025307288626,0.08932569847781952,0.29728028369632964,0.04537944925447218,0.29728028369632964,0.2148466706749282,0.30440025307288626,1.0,0.29728028369632964,0.24602693788598778,0.29728028369632964,0.11757264629984704,0.29728028369632964,0.16953327189041423,0.2999227073644115,0.23116731573173127,0.2999227073644115,0.2292759778669048,0.29670189542470504,0.45583097407912254,0.2999227073644115,0.22372939672787973,0.29670189542470504
__age_days_unemployment_rate,0.30176344602774413,0.29997713688091676,0.30744138977746965,0.29986690775368974,0.29986690775368974,0.3108600852226755,0.29986690775369024,0.29726307361306875,0.6490948734793582,0.29735574878595106,0.6490948734793582,0.2964810885374501,0.9475,0.2978814808441036,0.9475,0.29664990108194494,0.6490948734793582,0.29728028369632964,1.0,0.29788123387943577,0.9475,0.29900402139654497,0.9475,0.2966322415092364,0.4246171817621527,0.2956706124395744,0.4246171817621527,0.29929708773780334,0.38231874132924604,0.30241702896233175,0.4246171817621527,0.2999257371527754,0.38231874132924604
